_module,_source_file,VALUE,QUANTITY,DETAILS
MORE,DelayNoMore+build+notes.pdf,47nF,4,
MORE,DelayNoMore+build+notes.pdf,100nF,7,
MORE,DelayNoMore+build+notes.pdf,1uF,1,
MORE,DelayNoMore+build+notes.pdf,3.5mm mono sockets,3,
MORE,DelayNoMore+build+notes.pdf,LED,1,
MORE,DelayNoMore+build+notes.pdf,10 pin power connector,1,
MORE,DelayNoMore+build+notes.pdf,thru-hole resistors,,
MORE,DelayNoMore+build+notes.pdf,10R,2,
MORE,DelayNoMore+build+notes.pdf,1206 or 0805 resistors,,
MORE,DelayNoMore+build+notes.pdf,1k,6,
MORE,DelayNoMore+build+notes.pdf,2k2,1,
MORE,DelayNoMore+build+notes.pdf,10k,7,
MORE,DelayNoMore+build+notes.pdf,47k,4,
MORE,DelayNoMore+build+notes.pdf,100k,3,
Divide & Conquer,Divide+&+Conquer+build+and+BOM.pdf,4013,5,
Divide & Conquer,Divide+&+Conquer+build+and+BOM.pdf,4024,1,
Divide & Conquer,Divide+&+Conquer+build+and+BOM.pdf,4070,1,
Divide & Conquer,Divide+&+Conquer+build+and+BOM.pdf,3.5mm jack,18,
Divide & Conquer,Divide+&+Conquer+build+and+BOM.pdf,3mm LED,8,
Divide & Conquer,Divide+&+Conquer+build+and+BOM.pdf,LL4148 diodes,4,
Divide & Conquer,Divide+&+Conquer+build+and+BOM.pdf,TL072,2,
Divide & Conquer,Divide+&+Conquer+build+and+BOM.pdf,BC847,14,
Divide & Conquer,Divide+&+Conquer+build+and+BOM.pdf,"VERS.3 - S1JL or similar VERS,4 - SCHOTTKY",2,
Divide & Conquer,Divide+&+Conquer+build+and+BOM.pdf,Eurorack power connector,1,
Divide & Conquer,Divide+&+Conquer+build+and+BOM.pdf,10uF,2,
Divide & Conquer,Divide+&+Conquer+build+and+BOM.pdf,100nF,7,
Divide & Conquer,Divide+&+Conquer+build+and+BOM.pdf,1k,28,
Divide & Conquer,Divide+&+Conquer+build+and+BOM.pdf,10k,6,
Divide & Conquer,Divide+&+Conquer+build+and+BOM.pdf,100k,10,
Divide & Conquer,Divide+&+Conquer+build+and+BOM.pdf,RL,8,
Divide & Conquer,Divide+&+Conquer+build+and+BOM.pdf,10 Pin 2.54mm Single Row Pin Header Strip,4,
Divide & Conquer,Divide+&+Conquer+build+and+BOM.pdf,10 Pin 2.54mm Single Row Female Pin Header,4,
Divinecmos Euro Build Notes,DivineCMOS+Euro+Build+notes.pdf,100k pot,5,
Divinecmos Euro Build Notes,DivineCMOS+Euro+Build+notes.pdf,3.5mm jack,8,
Divinecmos Euro Build Notes,DivineCMOS+Euro+Build+notes.pdf,3mm LED,1,
Divinecmos Euro Build Notes,DivineCMOS+Euro+Build+notes.pdf,S1JL,2,
Divinecmos Euro Build Notes,DivineCMOS+Euro+Build+notes.pdf,LL4148,2,
Divinecmos Euro Build Notes,DivineCMOS+Euro+Build+notes.pdf,BC847,4,
Divinecmos Euro Build Notes,DivineCMOS+Euro+Build+notes.pdf,TL072,3,
Divinecmos Euro Build Notes,DivineCMOS+Euro+Build+notes.pdf,4520,1,
Divinecmos Euro Build Notes,DivineCMOS+Euro+Build+notes.pdf,4070,1,
Divinecmos Euro Build Notes,DivineCMOS+Euro+Build+notes.pdf,10uF,4,
Divinecmos Euro Build Notes,DivineCMOS+Euro+Build+notes.pdf,RL,1,
Divinecmos Euro Build Notes,DivineCMOS+Euro+Build+notes.pdf,1k,3,
Divinecmos Euro Build Notes,DivineCMOS+Euro+Build+notes.pdf,2k2,8,
Divinecmos Euro Build Notes,DivineCMOS+Euro+Build+notes.pdf,10k,7,
Divinecmos Euro Build Notes,DivineCMOS+Euro+Build+notes.pdf,47k,2,
Divinecmos Euro Build Notes,DivineCMOS+Euro+Build+notes.pdf,100k,10,
Divinecmos Euro Build Notes,DivineCMOS+Euro+Build+notes.pdf,Eurorack 10 pin power connector,1,
Double Penetration Filter Build Notes,Double+Penetration+Filter+build+notes.pdf,100n,9,"Designators: C1, C2, C3, C4, C5, C12, C13, C14, C15 | (33n); 1206; (18n); (33n) () = tb303 version"
Double Penetration Filter Build Notes,Double+Penetration+Filter+build+notes.pdf,10u,12,"Designators: C6, C7, C8, C9, C10, C11, C16, C17, C18, C19, C20, C21"
Double Penetration Filter Build Notes,Double+Penetration+Filter+build+notes.pdf,signal diodes,1,"Designators: D1 – D4 | 1N4148 or 1N914, matched"
Double Penetration Filter Build Notes,Double+Penetration+Filter+build+notes.pdf,BC547,1,"Designators: , Q1, Q2, Q3, Q5, Q6, Q7 | NPN"
Double Penetration Filter Build Notes,Double+Penetration+Filter+build+notes.pdf,BC557,1,"Designators: Q4, Q8 | PNP"
Double Penetration Filter Build Notes,Double+Penetration+Filter+build+notes.pdf,100R,1,Designators: R1 | 1206
Double Penetration Filter Build Notes,Double+Penetration+Filter+build+notes.pdf,1K,4,"Designators: R2, R3, R7, R8 | vary to get Trans ladder CV range correct as no tune trimpot; 1206"
Double Penetration Filter Build Notes,Double+Penetration+Filter+build+notes.pdf,150K,1,Designators: R4 | adjust to centre CV for Trans ladder
Double Penetration Filter Build Notes,Double+Penetration+Filter+build+notes.pdf,100K,4,"Designators: R5, R6, R11, R47 | 1206"
Double Penetration Filter Build Notes,Double+Penetration+Filter+build+notes.pdf,6K2,1,Designators: R9 | MAYBE adjust (10k?) Trans ladder
Double Penetration Filter Build Notes,Double+Penetration+Filter+build+notes.pdf,2K2,1,Designators: R10
Double Penetration Filter Build Notes,Double+Penetration+Filter+build+notes.pdf,10k,8,"Designators: R12, R13, R14, R28, R33, R39, R40, R41 | 1206"
Double Penetration Filter Build Notes,Double+Penetration+Filter+build+notes.pdf,470k,4,"Designators: R15, R16, R42, R43"
Double Penetration Filter Build Notes,Double+Penetration+Filter+build+notes.pdf,100k,10,"Designators: R17, R18, R20, R21, R22, R23, R35, R36, R38, R45 | 1206; 1206 marked “c” on the PCB; 1206; 1206 adjust to change amplitude of sum out; 1206 adjust to change amplitude of diff output"
Double Penetration Filter Build Notes,Double+Penetration+Filter+build+notes.pdf,1k,8,"Designators: R19, R24, R25, R26, R27, R32, R34, R44 | vary to get CV range correct as no tune trimpot; 1206; 1206; 1206 (marked as 1k on pcb); 1206; 1206 marked as 1k on pcb"
Double Penetration Filter Build Notes,Double+Penetration+Filter+build+notes.pdf,2k2,1,Designators: R29 | 1206
Double Penetration Filter Build Notes,Double+Penetration+Filter+build+notes.pdf,47k,2,"Designators: R30, R31 | 1206"
Double Penetration Filter Build Notes,Double+Penetration+Filter+build+notes.pdf,150k,1,Designators: R37 | adjust to centre CV for diode ladder
Double Penetration Filter Build Notes,Double+Penetration+Filter+build+notes.pdf,10K,1,Designators: R46 | 1206
Double Penetration Filter Build Notes,Double+Penetration+Filter+build+notes.pdf,TL074,1,Designators: U1234 | SOIC
Double Penetration Filter Build Notes,Double+Penetration+Filter+build+notes.pdf,BAD,,
Double Penetration Filter Build Notes,Double+Penetration+Filter+build+notes.pdf,TLP620,,
Double Penetration Filter Build Notes,Double+Penetration+Filter+build+notes.pdf,HCPL-0530 -0531 -0534,,
Double Penetration Filter Build Notes,Double+Penetration+Filter+build+notes.pdf,TLP504A,,
Double Penetration Filter Build Notes,Double+Penetration+Filter+build+notes.pdf,ILD74,,
Double Penetration Filter Build Notes,Double+Penetration+Filter+build+notes.pdf,"ISD1, ISD5, ISD74",,
Double Penetration Filter Build Notes,Double+Penetration+Filter+build+notes.pdf,CNY74-2H,,
Double Penetration Filter Build Notes,Double+Penetration+Filter+build+notes.pdf,MCT6,,
Double Penetration Filter Build Notes,Double+Penetration+Filter+build+notes.pdf,KB824,,
Double Penetration Filter Build Notes,Double+Penetration+Filter+build+notes.pdf,TLP321-2,,ISD20x
Double Penetration Filter Build Notes,Double+Penetration+Filter+build+notes.pdf,TLP621-2,,LTV-824
Double Penetration Filter Build Notes,Double+Penetration+Filter+build+notes.pdf,TLP624-2,,ISP824
Double Penetration Filter Build Notes,Double+Penetration+Filter+build+notes.pdf,TLP628-2,,
Double Penetration Filter Build Notes,Double+Penetration+Filter+build+notes.pdf,TLP629-2,,
Double Penetration Filter Build Notes,Double+Penetration+Filter+build+notes.pdf,MCT9001,,
Double Penetration Filter Build Notes,Double+Penetration+Filter+build+notes.pdf,LDA203,,
Double Penetration Filter Build Notes,Double+Penetration+Filter+build+notes.pdf,SDT800,,
Double Penetration Filter Build Notes,Double+Penetration+Filter+build+notes.pdf,TIL918,,
Double Penetration Filter Build Notes,Double+Penetration+Filter+build+notes.pdf,red,,Difference out
Double Penetration Filter Build Notes,Double+Penetration+Filter+build+notes.pdf,orange,,Sum out
Double Penetration Filter Build Notes,Double+Penetration+Filter+build+notes.pdf,yellow,,diode ladder out
Double Penetration Filter Build Notes,Double+Penetration+Filter+build+notes.pdf,light blue (2),,Diode ladder inputs
Double Penetration Filter Build Notes,Double+Penetration+Filter+build+notes.pdf,blue,,Transistor ladder input
Double Penetration Filter Build Notes,Double+Penetration+Filter+build+notes.pdf,dark blue,,Transistor ladder CV1
Double Penetration Filter Build Notes,Double+Penetration+Filter+build+notes.pdf,purple,,Transistor ladder CV2
Double Penetration Filter Build Notes,Double+Penetration+Filter+build+notes.pdf,brown,,Diode ladder CV1
Double Penetration Filter Build Notes,Double+Penetration+Filter+build+notes.pdf,pink,,Diode ladder CV2
Double Penetration Filter Build Notes,Double+Penetration+Filter+build+notes.pdf,green,,transistor ladder out
ENV Follower,ENV+follower.pdf,470R,3,
ENV Follower,ENV+follower.pdf,1k,1,
ENV Follower,ENV+follower.pdf,2k2,1,
ENV Follower,ENV+follower.pdf,3k3,1,
ENV Follower,ENV+follower.pdf,4k7,1,
ENV Follower,ENV+follower.pdf,6k8,1,
ENV Follower,ENV+follower.pdf,10k,3,
ENV Follower,ENV+follower.pdf,15k,1,
ENV Follower,ENV+follower.pdf,33k,2,
ENV Follower,ENV+follower.pdf,62k,1,
ENV Follower,ENV+follower.pdf,100k,3,
ENV Follower,ENV+follower.pdf,470k,3,
ENV Follower,ENV+follower.pdf,2M2,2,
ENV Follower,ENV+follower.pdf,101 (100pF),1,
ENV Follower,ENV+follower.pdf,473 (47nF),1,
ENV Follower,ENV+follower.pdf,104 (100nF),3,
ENV Follower,ENV+follower.pdf,105 (1uF),1,
ENV Follower,ENV+follower.pdf,4u7 (4.7uF),1,
ENV Follower,ENV+follower.pdf,LL4148,2,
ENV Follower,ENV+follower.pdf,TL072,2,
ENV Follower,ENV+follower.pdf,"S1JL or similar, optional - for reverse voltage protection",2,
ENV Follower,ENV+follower.pdf,100k pot,1,
ENV Follower,ENV+follower.pdf,LED,1,
ENV Follower,ENV+follower.pdf,3.5mm jacks,4,
ENV Follower,ENV+follower.pdf,6.35mm / 1⁄4” mono jack,1,
ENV Follower,ENV+follower.pdf,eurorack 10 pin power connector,1,
Encephalo Adjuster,Encephalo+Adjuster+Build+and+BOM.pdf,100pF,3,
Encephalo Adjuster,Encephalo+Adjuster+Build+and+BOM.pdf,10nF,24,
Encephalo Adjuster,Encephalo+Adjuster+Build+and+BOM.pdf,100nF,5,
Encephalo Adjuster,Encephalo+Adjuster+Build+and+BOM.pdf,10uF,3,
Encephalo Adjuster,Encephalo+Adjuster+Build+and+BOM.pdf,470R,4,
Encephalo Adjuster,Encephalo+Adjuster+Build+and+BOM.pdf,1k,5,
Encephalo Adjuster,Encephalo+Adjuster+Build+and+BOM.pdf,1k8,1,
Encephalo Adjuster,Encephalo+Adjuster+Build+and+BOM.pdf,10k,49,
Encephalo Adjuster,Encephalo+Adjuster+Build+and+BOM.pdf,12k,2,
Encephalo Adjuster,Encephalo+Adjuster+Build+and+BOM.pdf,20k,5,
Encephalo Adjuster,Encephalo+Adjuster+Build+and+BOM.pdf,33k,1,
Encephalo Adjuster,Encephalo+Adjuster+Build+and+BOM.pdf,47k,7,
Encephalo Adjuster,Encephalo+Adjuster+Build+and+BOM.pdf,100k,12,
Encephalo Adjuster,Encephalo+Adjuster+Build+and+BOM.pdf,220k,24,
Encephalo Adjuster,Encephalo+Adjuster+Build+and+BOM.pdf,300k,2,
Encephalo Adjuster,Encephalo+Adjuster+Build+and+BOM.pdf,470k,1,
Encephalo Adjuster,Encephalo+Adjuster+Build+and+BOM.pdf,TL074 / TL084 / LF347,8,
Encephalo Adjuster,Encephalo+Adjuster+Build+and+BOM.pdf,LM13700M,1,
Encephalo Adjuster,Encephalo+Adjuster+Build+and+BOM.pdf,BC847,1,
Encephalo Adjuster,Encephalo+Adjuster+Build+and+BOM.pdf,BC857,3,
Encephalo Adjuster,Encephalo+Adjuster+Build+and+BOM.pdf,100k trimpot,1,
Encephalo Adjuster,Encephalo+Adjuster+Build+and+BOM.pdf,LDR,24,
Encephalo Adjuster,Encephalo+Adjuster+Build+and+BOM.pdf,3mm LEDs,3,
Encephalo Adjuster,Encephalo+Adjuster+Build+and+BOM.pdf,Eurorack 10 pin power connector,1,
Encephalo Adjuster,Encephalo+Adjuster+Build+and+BOM.pdf,Schottky diodes,2,
Encephalo Adjuster,Encephalo+Adjuster+Build+and+BOM.pdf,3.5MM SOCKET Kobiconn style,8,
Encephalo Adjuster,Encephalo+Adjuster+Build+and+BOM.pdf,100k pots,6,
Encephalo Adjuster,Encephalo+Adjuster+Build+and+BOM.pdf,20 Pin 2.54mm Single Row Female Pin Header,4,
Encephalo Adjuster,Encephalo+Adjuster+Build+and+BOM.pdf,15 Pin 2.54mm Single Row Female Pin Header,2,
Encephalo Adjuster,Encephalo+Adjuster+Build+and+BOM.pdf,40 Pin 2.54mm Single Row Pin Header Strip,3,
FAST AND BULBOUS VCF,FAST+AND+BULBOUS+VCF+Build+and+BOM.pdf,1n,4,
FAST AND BULBOUS VCF,FAST+AND+BULBOUS+VCF+Build+and+BOM.pdf,100n,4,
FAST AND BULBOUS VCF,FAST+AND+BULBOUS+VCF+Build+and+BOM.pdf,220n,2,
FAST AND BULBOUS VCF,FAST+AND+BULBOUS+VCF+Build+and+BOM.pdf,10uF,2,
FAST AND BULBOUS VCF,FAST+AND+BULBOUS+VCF+Build+and+BOM.pdf,220R,4,
FAST AND BULBOUS VCF,FAST+AND+BULBOUS+VCF+Build+and+BOM.pdf,1k,4,
FAST AND BULBOUS VCF,FAST+AND+BULBOUS+VCF+Build+and+BOM.pdf,10k,11,
FAST AND BULBOUS VCF,FAST+AND+BULBOUS+VCF+Build+and+BOM.pdf,16k2,1,
FAST AND BULBOUS VCF,FAST+AND+BULBOUS+VCF+Build+and+BOM.pdf,20k,1,
FAST AND BULBOUS VCF,FAST+AND+BULBOUS+VCF+Build+and+BOM.pdf,27k,1,
FAST AND BULBOUS VCF,FAST+AND+BULBOUS+VCF+Build+and+BOM.pdf,33k,1,
FAST AND BULBOUS VCF,FAST+AND+BULBOUS+VCF+Build+and+BOM.pdf,51k,1,
FAST AND BULBOUS VCF,FAST+AND+BULBOUS+VCF+Build+and+BOM.pdf,54k9,1,
FAST AND BULBOUS VCF,FAST+AND+BULBOUS+VCF+Build+and+BOM.pdf,68k,1,
FAST AND BULBOUS VCF,FAST+AND+BULBOUS+VCF+Build+and+BOM.pdf,91k,1,
FAST AND BULBOUS VCF,FAST+AND+BULBOUS+VCF+Build+and+BOM.pdf,100k,10,
FAST AND BULBOUS VCF,FAST+AND+BULBOUS+VCF+Build+and+BOM.pdf,220k,2,
FAST AND BULBOUS VCF,FAST+AND+BULBOUS+VCF+Build+and+BOM.pdf,TL072 or TL082,3,
FAST AND BULBOUS VCF,FAST+AND+BULBOUS+VCF+Build+and+BOM.pdf,SSI2140,1,
FAST AND BULBOUS VCF,FAST+AND+BULBOUS+VCF+Build+and+BOM.pdf,Eurorack 10 pin power connector,1,
FAST AND BULBOUS VCF,FAST+AND+BULBOUS+VCF+Build+and+BOM.pdf,"S1JL, Schottky, power rectifier or 10R (worst option)",2,
FAST AND BULBOUS VCF,FAST+AND+BULBOUS+VCF+Build+and+BOM.pdf,3.5MM SOCKET Kobiconn style,7,
FAST AND BULBOUS VCF,FAST+AND+BULBOUS+VCF+Build+and+BOM.pdf,100k pot,6,
FAST AND BULBOUS VCF,FAST+AND+BULBOUS+VCF+Build+and+BOM.pdf,20k trimpot,1,
FAST AND BULBOUS VCF,FAST+AND+BULBOUS+VCF+Build+and+BOM.pdf,toggle switch SPDT,4,
Feague,FEAGUEbuild&BOM.pdf,TL074,3,SOIC
Feague,FEAGUEbuild&BOM.pdf,10k (marked ‘d’ or 10k),9,0805
Feague,FEAGUEbuild&BOM.pdf,LM13700 or NJM13700,2,SOIC or DMP-16
Feague,FEAGUEbuild&BOM.pdf,33k,4,0805
Feague,FEAGUEbuild&BOM.pdf,"DG411 or similar (not ADG411 tho, it won’t work)",1,"SOIC, make sure the power ratings suit +/-12V"
Feague,FEAGUEbuild&BOM.pdf,51k,1,0805
Feague,FEAGUEbuild&BOM.pdf,BCM857DS,1,SOT23-6 or SOT457 Mouser: 771-BCM857DS- T/R
Feague,FEAGUEbuild&BOM.pdf,100k,22,0805
Feague,FEAGUEbuild&BOM.pdf,BC847,1,SOT-23
Feague,FEAGUEbuild&BOM.pdf,120k,2,0805
Feague,FEAGUEbuild&BOM.pdf,J108 or J109 or J112 (MMBFJ108) or MMBF5459 or MMBF5486,4,"SOT-23, marked J112 on PCB"
Feague,FEAGUEbuild&BOM.pdf,180k replace with 100k or 120k,1 (added to 100k total),0805 sets range of Coarse tune pot
Feague,FEAGUEbuild&BOM.pdf,"S1JL or similar, optional - for reverse voltage protection",2,"SMD, standard power diode 600V 1A, dot on PCB indicates cathode (stripe)"
Feague,FEAGUEbuild&BOM.pdf,200k,1,0805
Feague,FEAGUEbuild&BOM.pdf,3mm LED,2,"not for display, so any colour"
Feague,FEAGUEbuild&BOM.pdf,220k,2,0805
Feague,FEAGUEbuild&BOM.pdf,10k trimpot,1,10-turn is nice
Feague,FEAGUEbuild&BOM.pdf,300k,1,0805
Feague,FEAGUEbuild&BOM.pdf,20pF,1,0805
Feague,FEAGUEbuild&BOM.pdf,3M (2M2 or 4M7 okay),1,"0805, for fine tune"
Feague,FEAGUEbuild&BOM.pdf,150pF,4,0805
Feague,FEAGUEbuild&BOM.pdf,RL,4,"0805, choose resistor to suit LED brightness, mine uses 470R"
Feague,FEAGUEbuild&BOM.pdf,1nF,4,0805
Feague,FEAGUEbuild&BOM.pdf,Eurorack 10 pin power connector,1,Tayda: A-198
Feague,FEAGUEbuild&BOM.pdf,100nF,5,0805
Feague,FEAGUEbuild&BOM.pdf,10 Pin 2.54mm Single Row Pin Header Strip,3,Tayda: A-197
Feague,FEAGUEbuild&BOM.pdf,10μF,5,0805
Feague,FEAGUEbuild&BOM.pdf,10 Pin 2.54mm Single Row Female Pin Header,3,Tayda: A-1306
Feague,FEAGUEbuild&BOM.pdf,1k tempco,1,thru-hole. Use a regular 1k if you don’t need precise 1V/oct
Feague,FEAGUEbuild&BOM.pdf,100k pot 9mm,6,Tayda: A-1848
Feague,FEAGUEbuild&BOM.pdf,220R,8,0805
Feague,FEAGUEbuild&BOM.pdf,3.5mm socket,8,Tayda: A-865
Feague,FEAGUEbuild&BOM.pdf,1k (marked ‘1’ or 1k),5,0805
Feague,FEAGUEbuild&BOM.pdf,SPDT on-on toggle switch,1,Tayda: A-4567
Feague,FEAGUEbuild&BOM.pdf,2k2,1,0805
Feague,FEAGUEbuild&BOM.pdf,2 pin bipolar LED (5mm),4,Can use regular LEDs if you wish
FF Chaos Build Notes,FF+Chaos+build+notes.pdf,100k pot,2,
FF Chaos Build Notes,FF+Chaos+build+notes.pdf,TL074,3,
FF Chaos Build Notes,FF+Chaos+build+notes.pdf,4013,1,
FF Chaos Build Notes,FF+Chaos+build+notes.pdf,BC547,3,
FF Chaos Build Notes,FF+Chaos+build+notes.pdf,1N4148,5,
FF Chaos Build Notes,FF+Chaos+build+notes.pdf,CAPS,,
FF Chaos Build Notes,FF+Chaos+build+notes.pdf,10uF (25v or higher rating),2,
FF Chaos Build Notes,FF+Chaos+build+notes.pdf,10uF BP,1,
FF Chaos Build Notes,FF+Chaos+build+notes.pdf,100nF,3,
FF Chaos Build Notes,FF+Chaos+build+notes.pdf,1uF,1,
FF Chaos Build Notes,FF+Chaos+build+notes.pdf,10nF,1,
FF Chaos Build Notes,FF+Chaos+build+notes.pdf,3.5mm mono sockets,8,
FF Chaos Build Notes,FF+Chaos+build+notes.pdf,LED,4,
FF Chaos Build Notes,FF+Chaos+build+notes.pdf,10 pin power connector,1,
FF Chaos Build Notes,FF+Chaos+build+notes.pdf,thru-hole resistors,,
FF Chaos Build Notes,FF+Chaos+build+notes.pdf,10R,2,
FF Chaos Build Notes,FF+Chaos+build+notes.pdf,1206 or 0805 resistors,,
FF Chaos Build Notes,FF+Chaos+build+notes.pdf,470R,2,
FF Chaos Build Notes,FF+Chaos+build+notes.pdf,1k,6,
FF Chaos Build Notes,FF+Chaos+build+notes.pdf,2k,3,
FF Chaos Build Notes,FF+Chaos+build+notes.pdf,3k,1,
FF Chaos Build Notes,FF+Chaos+build+notes.pdf,4k7,2,
FF Chaos Build Notes,FF+Chaos+build+notes.pdf,5k6,1,
FF Chaos Build Notes,FF+Chaos+build+notes.pdf,8k2,1,
FF Chaos Build Notes,FF+Chaos+build+notes.pdf,10k,5,
FF Chaos Build Notes,FF+Chaos+build+notes.pdf,15k,1,
FF Chaos Build Notes,FF+Chaos+build+notes.pdf,18k,1,
FF Chaos Build Notes,FF+Chaos+build+notes.pdf,22k,1,
FF Chaos Build Notes,FF+Chaos+build+notes.pdf,30k,2,
FF Chaos Build Notes,FF+Chaos+build+notes.pdf,100k,11,
FK1T VCF,FK1T_build_BOM.pdf,100k pot,4,Tayda: A-1848
FK1T VCF,FK1T_build_BOM.pdf,2.2nF (222),2,0805
FK1T VCF,FK1T_build_BOM.pdf,kobiconn style sockets,6,Tayda: A-865
FK1T VCF,FK1T_build_BOM.pdf,1nF,1,0805
FK1T VCF,FK1T_build_BOM.pdf,10 eurorack power connector,1,Tayda: A-198
FK1T VCF,FK1T_build_BOM.pdf,1M,2,0805
FK1T VCF,FK1T_build_BOM.pdf,TL074,1,SOIC 0050 pitch
FK1T VCF,FK1T_build_BOM.pdf,220k,3,0805
FK1T VCF,FK1T_build_BOM.pdf,single vactrol,4,
FK1T VCF,FK1T_build_BOM.pdf,100k (c),11,0805
FK1T VCF,FK1T_build_BOM.pdf,BC857,2,SOT-23
FK1T VCF,FK1T_build_BOM.pdf,68k,2,0805
FK1T VCF,FK1T_build_BOM.pdf,BC847,3,SOT-23
FK1T VCF,FK1T_build_BOM.pdf,47k,2,0805
FK1T VCF,FK1T_build_BOM.pdf,10μF,4,2mm lead spacing
FK1T VCF,FK1T_build_BOM.pdf,10k (d),4,0805
FK1T VCF,FK1T_build_BOM.pdf,1μF (105),1,0805
FK1T VCF,FK1T_build_BOM.pdf,4k7,6,0805
FK1T VCF,FK1T_build_BOM.pdf,100nF (104),2,0805
FK1T VCF,FK1T_build_BOM.pdf,1k (1),3,0805
FK1T VCF,FK1T_build_BOM.pdf,47nF (473),1,0805
FK1T VCF,FK1T_build_BOM.pdf,470R,1,0805
FK1T VCF,FK1T_build_BOM.pdf,33nF (333),1,0805
FK1T VCF,FK1T_build_BOM.pdf,220R,1,0805
FK1T VCF,FK1T_build_BOM.pdf,3.3nF (332),1,0805
FK1T VCF,FK1T_build_BOM.pdf,10R,2,thru-hole
FM OP,FM+OP+Build+and+BOM.pdf,100pF,1,
FM OP,FM+OP+Build+and+BOM.pdf,3.9nF (3n9),1,
FM OP,FM+OP+Build+and+BOM.pdf,10nF,2,
FM OP,FM+OP+Build+and+BOM.pdf,100nF,8,
FM OP,FM+OP+Build+and+BOM.pdf,10uF,4,
FM OP,FM+OP+Build+and+BOM.pdf,270Ω (270R),1,
FM OP,FM+OP+Build+and+BOM.pdf,1k,7,
FM OP,FM+OP+Build+and+BOM.pdf,3.3k (3k3),1,
FM OP,FM+OP+Build+and+BOM.pdf,4.02k (4k02),1,
FM OP,FM+OP+Build+and+BOM.pdf,4.32k (4k32),1,
FM OP,FM+OP+Build+and+BOM.pdf,4.75k (4k75),2,
FM OP,FM+OP+Build+and+BOM.pdf,10k,12,
FM OP,FM+OP+Build+and+BOM.pdf,12.7k (12k7),1,
FM OP,FM+OP+Build+and+BOM.pdf,20k,6,
FM OP,FM+OP+Build+and+BOM.pdf,22k,1,
FM OP,FM+OP+Build+and+BOM.pdf,30k,1,
FM OP,FM+OP+Build+and+BOM.pdf,49.9k (49k9),1,
FM OP,FM+OP+Build+and+BOM.pdf,62k,1,
FM OP,FM+OP+Build+and+BOM.pdf,100k,4,
FM OP,FM+OP+Build+and+BOM.pdf,267k,1,
FM OP,FM+OP+Build+and+BOM.pdf,470k,1,
FM OP,FM+OP+Build+and+BOM.pdf,510k,1,
FM OP,FM+OP+Build+and+BOM.pdf,1M,2,
FM OP,FM+OP+Build+and+BOM.pdf,4.7M (4M7),1,
FM OP,FM+OP+Build+and+BOM.pdf,TL072 or TL082,3,
FM OP,FM+OP+Build+and+BOM.pdf,LM78L05,1,
FM OP,FM+OP+Build+and+BOM.pdf,7555 or NE555D,1,
FM OP,FM+OP+Build+and+BOM.pdf,SSI2130,1,
FM OP,FM+OP+Build+and+BOM.pdf,BC847,1,
FM OP,FM+OP+Build+and+BOM.pdf,2N7002,1,
FM OP,FM+OP+Build+and+BOM.pdf,BAT54S,2,
FM OP,FM+OP+Build+and+BOM.pdf,TL431,2,
FM OP,FM+OP+Build+and+BOM.pdf,5k 3296W trimpot,3,
FM OP,FM+OP+Build+and+BOM.pdf,Eurorack 10 pin power connector,1,
FM OP,FM+OP+Build+and+BOM.pdf,"S1JL, Schottky, power rectifier or 10R",2,
FM OP,FM+OP+Build+and+BOM.pdf,1N400x power rectifier or similar,1,
FM OP,FM+OP+Build+and+BOM.pdf,3.5MM SOCKET Kobiconn style,6,
FM OP,FM+OP+Build+and+BOM.pdf,100k pot,4,
FM OP,FM+OP+Build+and+BOM.pdf,3 pin header,2,
FM OP,FM+OP+Build+and+BOM.pdf,4 pin header,2,
FM OP,FM+OP+Build+and+BOM.pdf,3 Pin 2.54mm Single Row Female Pin Header,2,
FM OP,FM+OP+Build+and+BOM.pdf,4 Pin 2.54mm Single Row Female Pin Header,2,
Fourier,FOURIER+Build+and+BOM.pdf,47p,2,
Fourier,FOURIER+Build+and+BOM.pdf,100n,8,
Fourier,FOURIER+Build+and+BOM.pdf,10u,4,
Fourier,FOURIER+Build+and+BOM.pdf,1k,20,
Fourier,FOURIER+Build+and+BOM.pdf,3k3,48,
Fourier,FOURIER+Build+and+BOM.pdf,10k,109,
Fourier,FOURIER+Build+and+BOM.pdf,12k ?,2,
Fourier,FOURIER+Build+and+BOM.pdf,15k,55,
Fourier,FOURIER+Build+and+BOM.pdf,27k,23,
Fourier,FOURIER+Build+and+BOM.pdf,100k,15,
Fourier,FOURIER+Build+and+BOM.pdf,2M2,6,
Fourier,FOURIER+Build+and+BOM.pdf,RL,16,
Fourier,FOURIER+Build+and+BOM.pdf,LED,16,
Fourier,FOURIER+Build+and+BOM.pdf,TL072 or TL082,1,
Fourier,FOURIER+Build+and+BOM.pdf,TL074 or TL084,10,
Fourier,FOURIER+Build+and+BOM.pdf,LL4148,6,
Fourier,FOURIER+Build+and+BOM.pdf,CD4029,2,
Fourier,FOURIER+Build+and+BOM.pdf,DG406 or DG506 (usually cheaper),2,
Fourier,FOURIER+Build+and+BOM.pdf,Eurorack 10 pin power connector,1,
Fourier,FOURIER+Build+and+BOM.pdf,"S1JL, Schottky, power rectifier",2,
Fourier,FOURIER+Build+and+BOM.pdf,3.5MM mono SOCKET,25,
Fourier,FOURIER+Build+and+BOM.pdf,100k pot,16,
